video_id,s3_uri,downsampled_s3_uri,sha1_checksum,downsampled_sha1_checksum
aaju.mp4,s3://drivendata-competition-depth-estimation-public/test_videos/aaju.mp4,s3://drivendata-competition-depth-estimation-public/test_videos_downsampled/aaju.mp4,d9ec6ca489a60d36cb8bb92e330b53d7959df3cc,5a41330c45f36360dfb4dec4b7d9435e9bedb90e
aany.mp4,s3://drivendata-competition-depth-estimation-public/train_videos/aany.mp4,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/aany.mp4,b9953d0e4924747beaf6707b0ddc1a2f4f3d6b4c,09774d90cbce093a78c68ec2c68dbbb54caaf0b5
aava.mp4,s3://drivendata-competition-depth-estimation-public/test_videos/aava.mp4,s3://drivendata-competition-depth-estimation-public/test_videos_downsampled/aava.mp4,e661e42e94f36bff3acb406df6b19898985da010,c764427cae11e97679807621f476a12ad4064376
aazh.avi,s3://drivendata-competition-depth-estimation-public/train_videos/aazh.avi,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/aazh.avi,1bc2fdc5501b5bde874725e794bac9d22ea4ddde,932bbaddeea6f621d3f71546903d8d7b1171d5a0
abhg.mp4,s3://drivendata-competition-depth-estimation-public/test_videos/abhg.mp4,s3://drivendata-competition-depth-estimation-public/test_videos_downsampled/abhg.mp4,9c4621b5d0edfaee4edd60a41df37308934c0f90,eba670a96b57f137eb0763c8ffea026471ceedf4
abim.mp4,s3://drivendata-competition-depth-estimation-public/train_videos/abim.mp4,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/abim.mp4,0502c21fb18f4186c4ec21d2f97751235167a4a3,3b2c317d0ae9efbdcdecdf7603d08df294eff1b5
abjx.mp4,s3://drivendata-competition-depth-estimation-public/test_videos/abjx.mp4,s3://drivendata-competition-depth-estimation-public/test_videos_downsampled/abjx.mp4,e0f3e5cc3fb6ebc2f198332cfaf7c1f2221d1b39,eb1ac1f25ec2aaa6972d49ece8105f6d391ea396
absl.avi,s3://drivendata-competition-depth-estimation-public/test_videos/absl.avi,s3://drivendata-competition-depth-estimation-public/test_videos_downsampled/absl.avi,70bae2d04f9ab867a42b2492ee156aa1977da735,4e2e2aa15f4e2c89f7f496af15d0433a5ad4d9ac
abzy.avi,s3://drivendata-competition-depth-estimation-public/train_videos/abzy.avi,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/abzy.avi,f455014a906531624f5f1c0f84b8f76e9e04cee0,8b3dda0440bf1e7af6163780b4a508516027e7f5
accx.mp4,s3://drivendata-competition-depth-estimation-public/train_videos/accx.mp4,s3://drivendata-competition-depth-estimation-public/train_videos_downsampled/accx.mp4,ab1d4ca976deba4b58a0a8d1b7438fa371bf9f96,9760cdb071bc8b3d83509aa781a2074bd701b67a
acdy.mp4,s3://drivendata-competition-depth-estimation-public/test_videos/acdy.mp4,s3://drivendata-competition-depth-estimation-public/test_videos_downsampled/acdy.mp4,aee21a4433e5513c78ec3a65d7d1d3698456d429,0c224dbe09c6df2888ef344400ce2e479f6932c7
