video_id,time,x1,y1,x2,y2,probability,park,site_id,distance
aazh.avi,0,0.0096874535,0.36197138,0.465045,0.9239086,0.7364271,tai,cwq,1.5
aazh.avi,2,0.016854912,0.36550978,0.47696987,0.91867757,0.508687,tai,cwq,1.5
aazh.avi,4,0.013069823,0.28710565,0.47219127,0.9669285,0.14892422,tai,cwq,1.5
aazh.avi,6,0.025318787,0.33401975,0.4717272,0.9356499,0.07395812,tai,cwq,1.5
aazh.avi,8,0.020436496,0.34243,0.47454152,0.938095,0.17608401,tai,cwq,1.5
aazh.avi,10,0.016211614,0.33898988,0.4636026,0.9370036,0.2666791,tai,cwq,1.5
aazh.avi,12,0.03862956,0.31037855,0.55201197,0.9671706,0.06878573,tai,cwq,1.5
aazh.avi,14,0.00886102,0.36859828,0.47870243,0.9968416,0.04934871,tai,cwq,1.5
abim.mp4,0,0.80971617,0.17899016,1.0,0.8151506,0.100011006,moyen_bafing,cde,17.0
abim.mp4,10,0.83886135,0.23194066,1.0,0.779914,0.13095644,moyen_bafing,cde,17.0
abim.mp4,20,0.24582922,0.48678645,0.7833352,0.9464607,0.31736887,moyen_bafing,cde,17.0
abim.mp4,30,0.26886946,0.49237794,0.75540495,0.9460809,0.51623076,moyen_bafing,cde,17.0
abim.mp4,40,0.8053392,0.18018073,1.0,0.81823575,0.13920838,moyen_bafing,cde,16.0
abzy.avi,0,,,,,,tai,vso,9.0
abzy.avi,2,,,,,,tai,vso,9.0
abzy.avi,4,,,,,,tai,vso,9.0
abzy.avi,6,0.45234335,0.559722,0.51562465,0.665278,0.155935,tai,vso,9.0
abzy.avi,8,0.86523104,0.38692093,0.90808254,0.46409157,0.010232523,tai,vso,9.0
abzy.avi,10,0.68203085,0.508333,0.75468715,0.6111110000000001,0.766938,tai,vso,9.0
abzy.avi,12,0.680469,0.5069440000000001,0.755469,0.634722,0.790505,tai,vso,7.5
abzy.avi,14,,,,,,tai,vso,6.5
accx.mp4,2,0.0273437,0.7083335000000001,0.0765625,0.8097225,0.417684,moyen_bafing,mcb,10.0
accx.mp4,10,0.9208953,0.69773096,1.0,0.8561681,0.010539323,moyen_bafing,mcb,25.0
accx.mp4,20,0.9199284,0.6962761,1.0,0.8563949,0.012624329,moyen_bafing,mcb,25.0
accx.mp4,30,0.92073596,0.69505817,1.0,0.8577143,0.011529708,moyen_bafing,mcb,25.0
accx.mp4,40,0.91989076,0.6943571,1.0,0.8588047,0.011519705,moyen_bafing,mcb,25.0
accx.mp4,50,,,,,,moyen_bafing,mcb,25.0
acpr.mp4,0,0.44723883,0.5761206,0.5054815,0.84628636,0.13825709,moyen_bafing,tre,5.0
acpr.mp4,10,,,,,,moyen_bafing,tre,12.0
acyi.mp4,0,0.17415641,0.5446106,0.24889503,0.62084985,0.966139,moyen_bafing,akf,14.0
admu.mp4,30,0.6240222,0.8581227,0.762253,0.9525486,0.061670158,moyen_bafing,vyi,10.0
admu.mp4,40,0.3203121,0.7319445,0.4101559,0.8583335000000001,0.899504,moyen_bafing,vyi,9.0
admu.mp4,50,0.62300384,0.85882425,0.7637239,0.9521857,0.049312685,moyen_bafing,vyi,9.0
admx.avi,7,0.0,0.0,0.7642669,0.7834996,0.019664673,tai,qsz,3.5
admx.avi,9,0.619531,0.5847225,0.792969,0.8208335,0.530249,tai,qsz,3.5
admx.avi,11,0.0,0.0,0.76515585,0.7852012,0.019325405,tai,qsz,2.5
admx.avi,13,0.0,0.0,0.7641798,0.7838225,0.019577904,tai,qsz,2.5
adsm.mp4,8,0.8277544,0.43043202,1.0,0.70157784,0.94766337,moyen_bafing,pgt,11.0
adsm.mp4,10,0.81374115,0.38195002,0.8614694,0.5010742,0.86499,moyen_bafing,pgt,11.0
adsm.mp4,12,0.83552766,0.37578848,0.89234316,0.49945584,0.8980655,moyen_bafing,pgt,11.0
adsm.mp4,14,0.7465657,0.36666983,0.8193857,0.49250752,0.94931865,moyen_bafing,pgt,11.0
adsm.mp4,16,0.7406831,0.37100467,0.8175226,0.48979348,0.95184886,moyen_bafing,pgt,11.0
adsm.mp4,18,0.72804713,0.38646516,0.79881364,0.49819395,0.8022255,moyen_bafing,pgt,10.0
adsm.mp4,20,0.6650906,0.3693623,0.7261918,0.5065311,0.8935277,moyen_bafing,pgt,7.0
adsm.mp4,22,0.55966246,0.37340266,0.63095,0.521518,0.8905037,moyen_bafing,pgt,6.0
adsm.mp4,24,0.5268455,0.4399951,0.8350971,0.9392929,0.91413724,moyen_bafing,pgt,4.0
adsm.mp4,26,0.7225388,0.20295003,0.9943033,1.0,0.7989325,moyen_bafing,pgt,3.0
adsm.mp4,28,0.8426015,0.28011453,0.9977984,0.97420096,0.8202955,moyen_bafing,pgt,2.0
adsm.mp4,30,0.6890816,0.06057334,0.9881523,1.0,0.7418833,moyen_bafing,pgt,2.0
adsm.mp4,50,0.4880617,0.5225051,0.6398462,0.9252058,0.96572983,moyen_bafing,pgt,17.0
adsm.mp4,52,0.9292301,0.2974978,0.99999326,0.5344678,0.5682251,moyen_bafing,pgt,9.0
adxl.mp4,0,0.40915996,0.76722246,1.0,0.9823454,0.9590548,moyen_bafing,pxp,2.0
adxl.mp4,2,0.29019842,0.6620974,0.81557953,0.95621914,0.7705409,moyen_bafing,pxp,2.0
adxl.mp4,4,0.21195182,0.6534131,0.81448615,0.93146116,0.9235904,moyen_bafing,pxp,2.0
adxl.mp4,6,0.12327528,0.5874171,0.6592947,0.95458424,0.96581775,moyen_bafing,pxp,2.0
adxl.mp4,8,0.14971851,0.577237,0.6117314,0.9557284,0.97044593,moyen_bafing,pxp,2.0
adxl.mp4,10,0.1462537,0.57336664,0.61253506,0.9657265,0.90092146,moyen_bafing,pxp,2.0
adxl.mp4,12,0.09407559,0.62684596,0.6644777,0.95278007,0.9615783,moyen_bafing,pxp,2.0
adxl.mp4,14,0.08303979,0.62702113,0.67693675,0.9543022,0.93887824,moyen_bafing,pxp,2.0
adxl.mp4,16,0.2050911,0.59610337,0.6221348,0.9479712,0.60982805,moyen_bafing,pxp,2.0
adxl.mp4,18,0.19269462,0.59295815,0.64986163,0.9529618,0.99072236,moyen_bafing,pxp,2.0
adxl.mp4,20,0.21437153,0.5914247,0.65308654,0.93859255,0.99350846,moyen_bafing,pxp,2.0
adxl.mp4,22,0.06895739,0.606009,0.67203444,0.95628506,0.9471041,moyen_bafing,pxp,2.0
adxl.mp4,24,0.071837276,0.6285399,0.6865245,0.9522566,0.95532995,moyen_bafing,pxp,2.0
adxl.mp4,26,0.0,0.47176793,0.5120573,0.93471146,0.6236863,moyen_bafing,pxp,2.0
